Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_1206_3216Metric,13.5,38.29,180.0,top
C10,100n,C_0603_1608Metric,46.525,17.5,90.0,top
C11,10u,C_1206_3216Metric,13.25,19.0,0.0,top
C12,47u,C_1206_3216Metric,33.8,38.4,180.0,top
C13,47u,C_1206_3216Metric,33.8,40.691667,180.0,top
C14,47u,C_1206_3216Metric,33.8,43.133333,180.0,top
C15,47u,C_1206_3216Metric,33.8,45.575,180.0,top
C2,100n,C_0603_1608Metric,14.2,40.25,180.0,top
C3,100n,C_0603_1608Metric,24.5,40.0,0.0,top
C4,100n,C_0603_1608Metric,30.6,19.245,0.0,top
C5,100n,C_0603_1608Metric,10.5,21.75,-90.0,top
C6,100n,C_0603_1608Metric,17.5,30.5,0.0,top
C7,100n,C_0603_1608Metric,25.4,29.5,-90.0,top
C8,100n,C_0603_1608Metric,14.8,22.5,180.0,top
C9,100n,C_0603_1608Metric,43.7,14.2,0.0,top
D1,SS14,D_SMA,25.6,37.5,180.0,top
D2,SMAJ36A,D_SMA,60.3,32.25,90.0,top
D3,SS14,D_SMA,56.75,32.25,90.0,top
D4,MMSZ5242B,D_SOD-123,65.75,31.0,90.0,top
J1,KH-TYPE-C-16P,KINGHELM_KH-TYPE-C-16P,4.8875,25.0,-90.0,top
LED1,GREEN,LED_0805_2012Metric,13.005,3.02,180.0,top
LED2,GREEN,LED_0805_2012Metric,27.25,3.0,180.0,top
PS1,B0505S-2WR3,B_S-2WR2_MNS,21.28,47.4416,0.0,top
Q1,HL2309,SOT-23-3,70.25,31.25,270.0,top
R1,5K1,R_0603_1608Metric,7.015,18.57,180.0,top
R10,100K,R_0402_1005Metric,62.75,32.4,90.0,top
R11,5K1,R_0603_1608Metric,39.4,22.25,90.0,top
R12,5K1,R_0603_1608Metric,35.4,26.2,-90.0,top
R13,2K2,R_0603_1608Metric,12.0,13.25,-90.0,top
R14,2K2,R_0603_1608Metric,26.25,13.25,90.0,top
R2,5K1,R_0603_1608Metric,6.985,31.42,180.0,top
R3,10K,R_0402_1005Metric,41.0,14.0,90.0,top
R4,10K,R_0402_1005Metric,39.6,14.0,-90.0,top
R5,3mR,WSL3637_VIS,58.080176,17.446201,90.0,top
R6,10R,R_0402_1005Metric,49.275,19.5,0.0,top
R7,10R,R_0402_1005Metric,49.275,15.5,0.0,top
R8,10K,R_0402_1005Metric,36.5,16.25,-90.0,top
R9,330R,R_0402_1005Metric,63.25,30.25,0.0,top
SW1,DPDT,SW-TH_SK22D02G5,76.55,28.5,90.0,top
U1,CH340N,JEITA_SOIC-8_3.9x4.9mm_P1.27mm,12.75,27.0,-90.0,top
U2,ADuM1201AR,SOIC-8_3.9x4.9mm_P1.27mm,20.2,26.8,270.0,top
U3,ESP32-S3-ZERO,MODULE_ESP32-S3-ZERO,45.7375,35.8,0.0,top
U4,INA226,TSSOP-10_3x3mm_P0.5mm,42.6,16.75,270.0,top
